kata,ipa,e_count
longgar,loŋgar,0
awet,awet,1
serahan,sərahan,1
kepil,kəpil,1
mentari,məntari,1
mengongkong,məŋoŋkoŋ,1
kebusukan,kəbusukan,1
keruk,kəruʔ,1
bidari,bidari,0
iktibar,iʔtibar,0
anaknya,anaʔɲa,0
timbang,timbaŋ,0
cintrong,tʃintroŋ,0
tepersil,təpərsil,2
memerhatikan,məmərhatikan,2
mendanguk,məndaŋuʔ,1
badminton,badminton,0
penempaan,pənəmpaʔan,2
keterlibatan,kətərlibatan,2
cagun,tʃagun,0
kelemping,kələmpiŋ,2
megalit,megalit,1
mendikte,məndiʔte,2
zohor,zohor,0
pengatapan,pəŋatapan,1
bundak,bundaʔ,0
berhimpit,bərhimpit,1
selentang,sələntaŋ,2
keju,kedʒu,1
penyelidikan,pəɲəlidikan,2
abortus,abortus,0
benaran,bənaran,1
termaksud,tərmaʔsud,1
klorin,ʔlorin,0
akrilik,aʔriliʔ,0
drop,drop,0
menyerikatkan,məɲərikatkan,2
memarang,məmaraŋ,1
palka,palka,0
semeluk,səməluʔ,2
dilapah,dilapah,0
mesti,məsti,1
perseroan,pərseroan,2
diterjemahkan,ditərdʒəmahkan,2
menyeru,məɲəru,2
menyelia,məɲəlia,2
kontraknya,kontraʔɲa,0
berdahan,bərdahan,1
menyelundupi,məɲəlundupi,2
bentan,bəntan,1
pencicilan,pəntʃitʃilan,1
barbiturat,barbiturat,0
bencana,bəntʃana,1
lucah,lutʃah,0
camil,tʃamil,0
tempeleng,təmpeleŋ,3
kercup,kərtʃup,1
tengkorak,təŋkoraʔ,1
mendarmabaktikan,məndarmabaʔtikan,1
menyedikitkan,məɲədikitkan,2
perburuan,pərburuan,1
selawat,səlawat,1
arab,arab,0
hepatitis,hepatitis,1
membelalangkan,məmbəlalaŋkan,2
kepencong,kəpentʃoŋ,2
bertekatkan,bərtəkatkan,2
cericap,tʃəritʃap,1
pemerincian,pəmərintʃian,2
patriotisme,patriotismə,1
operator,opərator,1
walau,walau,0
penjor,pendʒor,1
dijamah,didʒamah,0
ketara,kətara,1
pemerhati,pəmərhati,2
penginjil,pəŋindʒil,1
sinisme,sinismə,1
berkelana,bərkəlana,2
kesedapan,kəsədapan,2
cerana,tʃərana,1
dikembalikan,dikəmbalikan,1
berbaki,bərbaki,1
empangan,əmpaŋan,1
bertulis,bərtulis,1
mencelis,məntʃəlis,2
bakarat,bakarat,0
berbiras,bərbiras,1
sedarun,sədarun,1
garing,gariŋ,0
kerepyak,kərəpjaʔ,2
dusin,dusin,0
rawatan,rawatan,0
kejer,kədʒər,2
meringis,məriŋis,1
sebrot,səbrot,1
menyengkelit,məɲəŋkəlit,3
konjugasi,kondʒugasi,0
mencemoohkan,məntʃəmoʔohkan,2
persentuhan,pərsəntuhan,2
terau,tərau,1
berselekoh,bərsəlekoh,3
menyongsong,məɲoŋsoŋ,1
dataran,dataran,0
pengapit,pəŋapit,1
sungut,suŋut,0
pemburas,pəmburas,1
pengejaan,pəŋedʒaʔan,2
durjasa,durdʒasa,0
kepepet,kəpepet,3
leksikon,leʔsikon,1
tersendam,tərsəndam,2
telekomunikasi,telekomunikasi,2
bersesah,bərsəsah,2
sesungguhnya,səsuŋguhɲa,1
bertanya,bərtaɲa,1
