kata,ipa
meneguhkan,mənəguhkan
dwitunggal,dwituŋgal
bantaian,bantaian
secuil,sətʃuil
jarang,dʒaraŋ
darau,darau
berkejar,bərkədʒar
mengenyal,məŋəɲal
rawit,rawit
bercantum,bərtʃantum
pengkhotbah,pəŋʔhotbah
kerpak,kərpaʔ
pascasarjana,pastʃasardʒana
tenggiri,təŋgiri
berhormat,bərhormat
merasakan,mərasakan
pagar,pagar
ketempuhan,kətəmpuhan
permaisuri,pərmaisuri
cecer,tʃetʃer
membotaki,məmbotaki
galang,galaŋ
kalori,kalori
menyendat,məɲəndat
maksimum,maʔsimum
gigih,gigih
amalgamasi,amalgamasi
tekanan,təkanan
bikonkaf,bikonkaf
mengangakan,məŋaŋakan
pokoknya,pokoʔɲa
pengimbas,pəŋimbas
kenangan,kənaŋan
terusi,tərusi
musuhnya,musuhɲa
ringis,riŋis
arti,arti
alifbata,alifbata
tendas,təndas
degradasi,degradasi
semudah,səmudah
warni,warni
menyesar,məɲəsar
pulau,pulau
kokoh,kokoh
bercahaya,bərtʃahaja
meraba,məraba
penanam,pənanam
pengemudi,pəŋəmudi
perkhidmatan,pərʔhidmatan
melambang,məlambaŋ
mutakhir,mutaʔhir
cundrik,tʃundriʔ
kulit,kulit
pesawat,pəsawat
adikku,adiʔku
muktabar,muʔtabar
memaksudkan,məmaʔsudkan
tonik,toniʔ
bercoang,bərtʃoaŋ
mencampak,məntʃampaʔ
kekurangan,kəkuraŋan
sadel,sadəl
komplot,komplot
mengata,məŋata
mempersalahkan,məmpərsalahkan
mencocor,məntʃotʃor
beradaptasi,bəradaptasi
berenda,bərenda
kenalan,kənalan
penyusutan,pəɲusutan
kekhasan,kəʔhasan
mengadakan,məŋadakan
menginap,məŋinap
lucah,lutʃah
fakulti,fakulti
badai,badai
astral,astral
prolog,prolog
bunyinya,buɲiɲa
bergilir,bərgilir
pemberontak,pəmbərontaʔ
agak,agaʔ
perkabungan,pərkabuŋan
iseng,isəŋ
pendekar,pəndekar
disorot,disorot
liberal,libəral
konsolidasi,konsolidasi
keliar,kəliar
lincah,lintʃah
keluargamu,kəluargamu
sekian,səkian
celoteh,tʃəloteh
kernyit,kərɲit
sesawi,səsawi
kompatibel,kompatibəl
diketuai,dikətuai
pelengset,pəleŋset
pencerita,pəntʃərita
bedaya,bədaja
koktail,koʔtail
kedekatan,kədəkatan
absensi,absensi
tembelang,təmbəlaŋ
tersohor,tərsohor
mengerjakan,məŋərdʒakan
berhabis,bərhabis
buklet,buʔlet
decut,dətʃut
yaitu,jaitu
meremas,mərəmas
keloyak,kəlojaʔ
kesu,kəsu
mengedor,məŋədor
persuasif,persuasif
caplak,tʃaplaʔ
menguraikan,məŋuraikan
konsepsi,konsepsi
dentuman,dəntuman
bangang,baŋaŋ
rahib,rahib
narwastu,narwastu
pakatan,pakatan
berdeklamasi,bərdeʔlamasi
pemalut,pəmalut
lautan,lautan
artifak,artifaʔ
puasnya,puasɲa
kilo,kilo
membajai,məmbadʒai
kangar,kaŋar
dicetak,ditʃetaʔ
aksiomatis,aʔsiomatis
keluaran,kəluaran
pengangon,pəŋaŋon
kismis,kismis
membungkam,məmbuŋkam
perlipan,pərlipan
konsistensi,konsistensi
tabiat,tabiat
andapita,andapita
motor,motor
keteladanan,kətəladanan
berjatuhan,bərdʒatuhan
pertal,pərtal
insentif,insentif
penyekap,pəɲəkap
berdwifungsi,bərdwifuŋsi
menepik,mənəpiʔ
negaranya,nəgaraɲa
kelautan,kəlautan
pembujangan,pəmbudʒaŋan
tendang,təndaŋ
melengah,məleŋah
mengesah,məŋəsah
ampas,ampas
bergetah,bərgətah
terburu,tərburu
tenggelam,təŋgəlam
sedut,sədut
seabrek,səabrəʔ
teraling,təraliŋ
optimis,optimis
terserempet,tərsərempet
kaku,kaku
berkuku,bərkuku
diganggu,digaŋgu
peringatan,pəriŋatan
kemalasan,kəmalasan
berangus,bəraŋus
pemikir,pəmikir
pemurah,pəmurah
pamit,pamit
beredar,bəredar
mengimbau,məŋimbau
perselingkuhan,pərsəliŋkuhan
dimengerti,diməŋərti
mendahak,məndahaʔ
teraso,teraso
meragui,məragui
bangket,baŋket
mempertikaikan,məmpərtikaikan
bekicot,bəkitʃot
seko,seko
mengetamkan,məŋətamkan
asia,asia
merampas,mərampas
mikrofilm,miʔrofilm
berbentrok,bərbəntroʔ
picit,pitʃit
menyedapkan,məɲədapkan
restoran,restoran
embalau,əmbalau
sena,sena
menghindari,məŋhindari
terputus,tərputus
mengegatkan,məŋəgatkan
mendiakan,məndiakan
keling,kəliŋ
memburas,məmburas
penyelenggaraan,pəɲələŋgaraʔan
menggemari,məŋgəmari
membantut,məmbantut
terali,tərali
menyerut,məɲərut
sedianya,sədiaɲa
cacat,tʃatʃat
kesegaran,kəsəgaran
menerus,mənərus
famili,famili
mengapung,məŋapuŋ
mekanisasi,mekanisasi
menggandingkan,məŋgandiŋkan
keter,kətər
autogen,autogen
melampaui,məlampaui
mengampukan,məŋampukan
perslah,pərslah
dikalahkan,dikalahkan
bangat,baŋat
sempat,səmpat
detik,dətiʔ
saudara,saudara
dawat,dawat
semandan,səmandan
mencelikkan,məntʃəliʔkan
keletung,kələtuŋ
awalengas,awaləŋas
penggubah,pəŋgubah
bergula,bərgula
rumit,rumit
antipati,antipati
berkisar,bərkisar
desakan,dəsakan
argon,argon
menutupi,mənutupi
triliun,triliun
kosen,kosen
mengodol,məŋodol
timbul,timbul
peksi,peʔsi
keringanan,kəriŋanan
istana,istana
menindas,mənindas
perpecahan,pərpətʃahan
egaliter,egaliter
tanduk,tanduʔ
arkati,arkati
ianya,iaɲa
mengebur,məŋəbur
binjat,bindʒat
kedaya gunaan,kədaja-gunaʔan
tandanya,tandaɲa
memerangi,məməraŋi
sabuk,sabuʔ
alkamar,alkamar
tanggungan,taŋguŋan
peruk,pəruʔ
renung,rənuŋ
melewati,məlewati
senyar,səɲar
megan,megan
melekatkan,mələkatkan
arnal,arnal
perforasi,perforasi
program,program
mengaji,məŋadʒi
pembaringan,pəmbariŋan
disentri,disentri
berpetak,bərpetaʔ
terpotong,tərpotoŋ
bernikah,bərnikah
pemberian,pəmbərian
bertegur,bərtəgur
kemlaka,kəmlaka
isapan,isapan
pemajuan,pəmadʒuan
tekang,təkaŋ
sesuap,səsuap
menusuk,mənusuʔ
mengakhirkan,məŋaʔhirkan
senunggang,sənuŋgaŋ
diminum,diminum
sepakan,sepakan
wijaya,widʒaja
bad,bad
rapat,rapat
permisif,pərmisif
bertempur,bərtəmpur
piang,piaŋ
mempelasari,məmpəlasari
kelombeng,kəlombeŋ
akselerasi,aʔselərasi
andong,andoŋ
sosiopolitik,sosiopolitiʔ
burkak,burkaʔ
amanat,amanat
dijunjung,didʒundʒuŋ
amukan,amukan
berdesir,bərdəsir
disekrup,disəʔrup
sepanduk,səpanduʔ
tempat,təmpat
servis,servis
pugar,pugar
berijazah,bəridʒazah
tersempil,tərsəmpil
melalui,məlalui
syarat,sjarat
demung,dəmuŋ
conggah,tʃoŋgah
bek,beʔ
marah,marah
kepecahan,kəpətʃahan
bade,bade
kebuyutan,kəbujutan
ragi,ragi
keremus,kərəmus
jeroan,dʒəroan
bereksperimen,bəreʔspərimen
mengesak,məŋəsaʔ
tersempul,tərsəmpul
tok,toʔ
setinggan,sətiŋgan
tengkalang,təŋkalaŋ
pemborong,pəmboroŋ
mahkota,mahkota
aseptik,aseptiʔ
memilah,məmilah
dasalomba,dasalomba
dikaji,dikadʒi
buruknya,buruʔɲa
semerbak,səmərbaʔ
perabotan,pərabotan
hatinya,hatiɲa
tempelak,təmpəlaʔ
lumat,lumat
losmen,losmen
sikapnya,sikapɲa
pengadun,pəŋadun
mudah,mudah
belangkas,bəlaŋkas
bertelimpuh,bərtəlimpuh
berpesta,bərpesta
pengeroyokan,pəŋərojokan
putera,putəra
melampiaskan,məlampiaskan
bermi,bərmi
pemburukan,pəmburukan
beralun,bəralun
pediatrik,pediatriʔ
pembangun,pəmbaŋun
asprak,aspraʔ
seprai,səprai
mendaulatkan,məndaulatkan
menjejak,məndʒədʒaʔ
sengketa,səŋketa
tersenyawa,tərsəɲawa
keperawanannya,kəpərawananɲa
terbuntang,tərbuntaŋ
kekebalan,kəkəbalan
profesor,profesor
keperakan,kəperakan
bongko,boŋko
mencoleng,məntʃoleŋ
bandel,bandəl
sirih,sirih
memperlakukannya,məmpərlakukanɲa
mens,mens
pesenam,pəsənam
sekularis,sekularis
merancangkan,mərantʃaŋkan
pemilik,pəmiliʔ
tempoyan,təmpojan
kelakanji,kəlakandʒi
mendengki,məndəŋki
sepetir,səpətir
dirugikan,dirugikan
sembarangan,səmbaraŋan
pidato,pidato
buta,buta
intrusi,intrusi
aji,adʒi
akuntan,akuntan
sengat,səŋat
dimisalkan,dimisalkan
berkepul,bərkəpul
mimpian,mimpian
menelanjangi,mənəlandʒaŋi
senior,senior
cinde,tʃinde
wira,wira
mencobakan,məntʃobakan
ketokan,kətokan
cagar,tʃagar
terbadai,tərbadai
labu,labu
baki,baki
rang,raŋ
sememangnya,səmemaŋɲa
tempoh,tempoh
menyalakan,məɲalakan
kaedah,kaedah
pencabar,pəntʃabar
penyapu,pəɲapu
kurban,kurban
selulup,səlulup
bertanda,bərtanda
keperkasaan,kəpərkasaʔan
eceran,etʃeran
jamin,dʒamin
asaman,asaman
ampela,ampəla
telus,təlus
kotanya,kotaɲa
tersentuh,tərsəntuh
corak,tʃoraʔ
oranye,oraɲə
dos,dos
pusat,pusat
merayakannya,mərajakanɲa
